family,order,seasonal_order,status,mae,rmse,mape,aic,bic,ticker,error
MA,"(0, 0, 2)","(0, 0, 0, 0)",ok,118.48633302138029,120.00124523981383,60.910758693034396,-2688.0846419783384,-2667.687835004126,NVDA,
MA,"(0, 0, 3)","(0, 0, 0, 0)",ok,118.16834922056175,119.74820511736363,60.74502287342008,-3626.549863097988,-3601.0579849050337,NVDA,
ARMA,"(1, 0, 1)","(0, 0, 0, 0)",ok,10.832506865972004,13.37165387024348,5.6023215950633976,-7351.422730377533,-7331.022621711017,NVDA,
ARMA,"(1, 0, 2)","(0, 0, 0, 0)",ok,10.969512409539497,13.524567760763118,5.6535325117306625,-7346.619092893061,-7321.123084175296,NVDA,
ARMA,"(2, 0, 1)","(0, 0, 0, 0)",ok,10.86606758066139,13.411868962764524,5.616393875459356,-7353.927015267922,-7328.426879434775,NVDA,
ARMA,"(2, 0, 2)","(0, 0, 0, 0)",ok,10.920019059618424,13.474066901337867,5.634332371254967,-7345.617331752798,-7315.022121291479,NVDA,
ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",ok,11.312683946723293,13.941618221283633,5.777973014848418,-7346.311670415121,-7331.014065184461,NVDA,
ARIMA,"(0, 1, 2)","(0, 0, 0, 0)",ok,11.303671647111347,13.928567526656934,5.7777159410101895,-7341.494789817358,-7321.101287262994,NVDA,
ARIMA,"(1, 1, 0)","(0, 0, 0, 0)",ok,11.286926928014706,13.908353104666832,5.768857339849076,-7354.561001728457,-7339.260920228569,NVDA,
ARIMA,"(1, 1, 1)","(0, 0, 0, 0)",ok,11.28791624415969,13.905105357237943,5.773069439560042,-7347.625132065593,-7327.228325091381,NVDA,
ARIMA,"(1, 1, 2)","(0, 0, 0, 0)",ok,11.311542335344788,13.939062353950945,5.779908524285455,-7340.144617542946,-7314.652739349993,NVDA,
ARIMA,"(2, 1, 0)","(0, 0, 0, 0)",ok,11.290270096132822,13.91036372268433,5.772441945726955,-7349.211854099792,-7328.815047125579,NVDA,
ARIMA,"(2, 1, 1)","(0, 0, 0, 0)",ok,11.30823339060433,13.93419215061197,5.779312082348874,-7346.410381809268,-7320.914373091503,NVDA,
ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",ok,11.289337145503913,13.90674820651727,5.773531771624926,-7337.391814768085,-7306.80156093654,NVDA,
ARIMA,"(0, 2, 1)","(0, 0, 0, 0)",ok,11.335473406983338,13.967876521620708,5.791777532389478,-7275.441717526175,-7260.146590610403,NVDA,
ARIMA,"(0, 2, 2)","(0, 0, 0, 0)",ok,11.221798089158748,13.816347409441798,5.75065398895132,-7306.561224112565,-7286.171028710105,NVDA,
ARIMA,"(1, 2, 0)","(0, 0, 0, 0)",ok,10.813589819909735,13.472147819791322,5.7624981131195945,-6866.819554347831,-6851.521949117172,NVDA,
ARIMA,"(1, 2, 1)","(0, 0, 0, 0)",ok,11.533016383854966,14.208419013425788,5.882898042067406,-7270.061580453263,-7249.668077898899,NVDA,
ARIMA,"(1, 2, 2)","(0, 0, 0, 0)",ok,11.229255123386245,13.822716487577626,5.7609283184571085,-7320.313502463039,-7294.825758209965,NVDA,
ARIMA,"(2, 2, 0)","(0, 0, 0, 0)",ok,25.02417666780167,27.969941964227903,13.160126460721507,-6980.39640711088,-6960.002904556517,NVDA,
ARIMA,"(2, 2, 1)","(0, 0, 0, 0)",ok,11.145225320405872,13.721830776901491,5.726708084863718,-7307.37509964291,-7281.883221449956,NVDA,
ARIMA,"(2, 2, 2)","(0, 0, 0, 0)",ok,12.379010369437873,15.643296999836721,6.199229930859021,-7303.460467312278,-7272.875174208589,NVDA,
SARIMAX,"(0, 1, 0)","(0, 0, 1, 5)",ok,11.296510482748133,13.924567212784204,5.768674770323575,-7307.5407901809795,-7292.253110517687,NVDA,
SARIMAX,"(0, 1, 0)","(0, 1, 1, 5)",ok,10.879369842652505,13.421608400876238,5.614507416325941,-7253.048196705843,-7237.772970360557,NVDA,
SARIMAX,"(0, 1, 0)","(1, 0, 0, 5)",ok,11.303882330637348,13.934470135142599,5.771474470874652,-7314.648938474742,-7299.358774339257,NVDA,
SARIMAX,"(0, 1, 0)","(1, 0, 1, 5)",ok,11.301221221498476,13.93063072517205,5.770473096536656,-7305.253887848844,-7284.870314964453,NVDA,
SARIMAX,"(0, 1, 0)","(1, 1, 0, 5)",ok,11.945528476553148,14.972396918119301,6.009515420176332,-6759.619951491379,-6744.3422303434545,NVDA,
